car00, Kamata Fiera
car01, NONE
car02, Lucky & Wild Wisdom
car03, Age Prophetie
car04, Terrazi Wild Gang
car05, Terrazi Starnose
car06, NONE
car07, Lucky & Wild Eruption
car08, Danver Hi-Night
car09, Kamata RC410
car0a, Assoluto Fatalita
car0b, NONE
car0c, Himmel E.O.
car0d, NONE
car0e, NONE
car0f, NONE
car0g, Danver HJ6000
car0h, Lucky & Wild Evolver
car10, Kamata Fiera
car11, NONE
car12, Lucky & Wild Wisdom
car13, Age Prophetie
car14, Terrazi Wild Gang
car15, Terrazi Starnose
car16, NONE
car17, Lucky & Wild Eruption
car18, Danver Hi-Night
car19, Kamata RC410
car1a, Assoluto Fatalita
car1b, NONE
car1c, Himmel E.O.
car1d, NONE
car1e, NONE
car1f, NONE
car1g, Danver HJ6000
car1h, Lucky & Wild Evolver
carx0, Kamata ANGL Concept
carx1, Soldat Crinale
carx2, Age Solo Petit 500
carx3, Lucky & Wild Mad Bull
carn0, PAC-MAN
carn1, New Rally-X
